path,symbol,glyph,count
PARSE_SUMMARY.txt,S5_box,□,32
Protopraxic_Meta_Logic/PXL Paradox Resolution.txt,S5_box,□,124
Protopraxic_Meta_Logic/PXL_Axioms.txt,S5_box,□,8
Protopraxic_Meta_Logic/PXL_Derived_Attributes.txt,S5_box,□,3
Protopraxic_Meta_Logic/PXL_Domain_Mapping.txt,S5_box,□,2
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,S5_box,□,3
Protopraxic_Meta_Logic/PXL_Theorems.txt,S5_box,□,12
PARSE_SUMMARY.txt,S5_diamond,◇,7
Protopraxic_Meta_Logic/PXL_Axioms.txt,S5_diamond,◇,1
Protopraxic_Meta_Logic/PXL_Derived_Attributes.txt,S5_diamond,◇,2
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,S5_diamond,◇,3
Protopraxic_Meta_Logic/PXL_Theorems.txt,S5_diamond,◇,1
PARSE_SUMMARY.txt,identity,⧟,19
Protopraxic_Meta_Logic/PXL_Abstract.txt,identity,⧟,1
Protopraxic_Meta_Logic/PXL_Axioms.txt,identity,⧟,4
Protopraxic_Meta_Logic/PXL_Derived_Attributes.txt,identity,⧟,1
Protopraxic_Meta_Logic/PXL_Domain_Mapping.txt,identity,⧟,2
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,identity,⧟,2
Protopraxic_Meta_Logic/PXL_Theorems.txt,identity,⧟,9
PARSE_SUMMARY.txt,implication,⟹,5
Protopraxic_Meta_Logic/PXL_Axioms.txt,implication,⟹,2
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,implication,⟹,2
Protopraxic_Meta_Logic/PXL_Theorems.txt,implication,⟹,1
PARSE_SUMMARY.txt,interchange,⇌,14
Protopraxic_Meta_Logic/PXL_Axioms.txt,interchange,⇌,2
Protopraxic_Meta_Logic/PXL_Domain_Mapping.txt,interchange,⇌,2
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,interchange,⇌,3
Protopraxic_Meta_Logic/PXL_Theorems.txt,interchange,⇌,7
PARSE_SUMMARY.txt,modal_equiv,⩪,10
Protopraxic_Meta_Logic/PXL_Abstract.txt,modal_equiv,⩪,1
Protopraxic_Meta_Logic/PXL_Axioms.txt,modal_equiv,⩪,2
Protopraxic_Meta_Logic/PXL_Domain_Mapping.txt,modal_equiv,⩪,1
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,modal_equiv,⩪,2
Protopraxic_Meta_Logic/PXL_Theorems.txt,modal_equiv,⩪,4
PARSE_SUMMARY.txt,non_equivalence,⇎,7
Protopraxic_Meta_Logic/PXL_Abstract.txt,non_equivalence,⇎,1
Protopraxic_Meta_Logic/PXL_Axioms.txt,non_equivalence,⇎,3
Protopraxic_Meta_Logic/PXL_Derived_Attributes.txt,non_equivalence,⇎,1
Protopraxic_Meta_Logic/PXL_Formal_Language_Definition.txt,non_equivalence,⇎,1
Protopraxic_Meta_Logic/PXL_Theorems.txt,non_equivalence,⇎,1
